Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2025-01-03 09:55:10,192.168.10.12,172.16.4.5,443,8080,TCP,480,Data,Web,"<html>HomePage</html>",None,0.02,None,Normal,None,Allowed,Low,userA,desktop-A1,SegmentA,IN,None,None,None,WebApp
2025-01-03 09:56:00,10.0.4.22,172.16.4.9,3521,80,TCP,1500,SYN,Web,"AAAAA",None,0.92,"Traffic Spike","DoS","SYN_Flood",Blocked,High,userB,server-B2,SegmentB,US,None,"SYN Block","SYN Alert",Firewall
2025-01-03 09:56:10,182.77.15.91,172.16.4.7,43822,443,TCP,1600,SYN,Web,"AAAAA",None,0.94,"Mass SYN","DDoS","SYN_Storm",Blocked,Critical,userC,server-C1,SegmentC,RU,None,"Mass SYN","DDoS Alert",Firewall
2025-01-03 09:57:12,192.168.1.45,172.16.4.10,22,22,TCP,128,Auth,SSH,"Password attempt=root",None,0.80,"Multiple fails","Brute Force","SSH_Brute",Blocked,Medium,userX,laptop-X1,SegmentA,IN,None,"Auth Fail","SSH Alert",SIEM
2025-01-03 09:58:20,172.16.7.9,192.168.1.50,3456,443,TCP,650,Scan,Web,"nmap -sV output",None,0.70,"Suspicious scan","Probe","Port_Scan",Allowed,Medium,userD,desktop-D3,SegmentD,UK,None,None,"Scan Alert",AppMonitor
2025-01-03 09:58:48,192.168.1.75,172.16.5.15,8080,443,TCP,590,Data,API,"GET /login?user=admin'--",None,0.85,"Suspicious parameter","Injection","SQLi_Attempt",Blocked,High,userE,mobile-E1,SegmentE,IN,None,"SQL Block","SQLi Alert",WebApp
2025-01-03 09:59:40,10.10.0.5,172.16.5.20,6000,53,UDP,300,Beacon,DNS,"malware.site.checkin",C2Possible,0.91,"Unusual DNS pattern","Malware","Beacon_C2",Blocked,High,userF,server-F1,SegmentF,SG,None,"DNS anomaly","C2 Alert",DNS
2025-01-03 10:00:30,10.0.9.44,172.16.5.17,8080,443,TCP,700,Data,Web,"TLS handshake mismatch",None,0.88,"Untrusted cert","MITM","TLS_Mismatch",Blocked,High,userG,laptop-G9,SegmentG,US,None,"TLS Error","Cert Warning",Proxy
2025-01-03 10:02:11,192.168.8.66,172.16.4.18,587,25,TCP,420,Mail,SMTP,"Suspicious attachment .zip",None,0.76,"Unusual sender","Phishing","Email_Attack",Blocked,Medium,userH,desktop-H2,SegmentH,IN,None,"Mail Block","Mail Alert",MailServer
2025-01-03 10:03:22,192.168.9.100,172.16.4.30,445,445,TCP,950,File,SMB,"Encrypted file extension .lock",RansomPattern,0.97,"Rapid file changes","Ransomware","Crypto_Locker",Blocked,Critical,userI,server-I7,SegmentI,DE,None,"SMB anomaly","Ransom Alert",FileServer
